time_utc,wind_speed_10m@pd2,wind_speed_10m@pd3,wind_direction_10m@pd2,wind_direction_10m@pd3,wind_speed_100m@pd2,wind_speed_100m@pd3,wind_direction_100m@pd2,wind_direction_100m@pd3,temperature_2m@pd2,temperature_2m@pd3,surface_pressure@pd2,surface_pressure@pd3,relative_humidity_2m@pd2,relative_humidity_2m@pd3
2024-05-01 00:00:00+00:00,2.95,2.27,242.0,229.0,6.43,5.0,258.0,258.0,9.8,9.6,947.8,946.5,71.0,73.0
2024-05-01 01:00:00+00:00,3.23,2.22,248.0,234.0,6.14,4.3,258.0,258.0,11.6,11.3,948.1,946.8,63.0,67.0
2024-05-01 02:00:00+00:00,3.54,2.33,254.0,245.0,5.63,3.64,258.0,254.0,14.2,14.1,948.6,947.4,53.0,57.0
2024-05-01 03:00:00+00:00,4.08,2.79,259.0,255.0,5.41,3.61,258.0,256.0,16.6,16.6,948.8,947.6,43.0,47.0
2024-05-01 04:00:00+00:00,4.74,3.82,263.0,264.0,5.97,4.53,261.0,264.0,18.7,18.7,948.5,947.6,35.0,38.0
2024-05-01 05:00:00+00:00,5.51,5.1,266.0,270.0,6.93,6.2,265.0,270.0,20.6,20.6,948.1,947.3,27.0,28.0
2024-05-01 06:00:00+00:00,6.3,6.3,268.0,272.0,7.9,7.81,269.0,272.0,22.0,22.0,947.7,947.1,22.0,22.0
2024-05-01 07:00:00+00:00,7.0,7.2,271.0,272.0,8.8,9.1,271.0,271.0,22.7,22.9,947.3,946.5,21.0,19.0
2024-05-01 08:00:00+00:00,7.72,8.0,274.0,271.0,9.73,10.3,274.0,270.0,22.9,23.4,947.0,945.9,22.0,20.0
2024-05-01 09:00:00+00:00,8.56,8.6,277.0,271.0,10.99,11.3,277.0,271.0,22.7,22.9,946.7,945.8,25.0,24.0
2024-05-01 10:00:00+00:00,10.1,8.91,281.0,273.0,13.34,11.83,283.0,274.0,22.2,20.9,946.6,946.6,27.0,36.0
2024-05-01 11:00:00+00:00,11.84,8.96,286.0,276.0,16.23,12.23,287.0,278.0,21.3,18.0,946.5,947.7,30.0,52.0
2024-05-01 12:00:00+00:00,12.4,9.21,286.0,279.0,17.33,12.92,288.0,281.0,20.0,15.7,947.1,948.8,37.0,63.0
2024-05-01 13:00:00+00:00,10.69,9.9,281.0,278.0,15.0,14.47,282.0,279.0,17.8,15.0,948.6,949.3,53.0,62.0
2024-05-01 14:00:00+00:00,8.02,10.57,266.0,277.0,11.53,16.17,266.0,275.0,15.1,14.9,950.6,949.9,72.0,56.0
2024-05-01 15:00:00+00:00,6.8,10.35,253.0,276.0,10.09,16.44,252.0,274.0,13.2,14.6,952.1,950.5,84.0,51.0
2024-05-01 16:00:00+00:00,7.35,8.34,258.0,276.0,11.04,13.67,258.0,276.0,12.8,13.6,952.9,951.5,80.0,49.0
2024-05-01 17:00:00+00:00,8.7,5.41,269.0,274.0,13.2,9.37,270.0,281.0,13.2,12.3,953.3,952.6,69.0,47.0
2024-05-01 18:00:00+00:00,9.21,3.2,272.0,272.0,14.23,6.17,274.0,287.0,13.2,11.1,953.5,953.4,61.0,48.0
2024-05-01 19:00:00+00:00,7.45,2.52,263.0,263.0,12.14,5.15,265.0,278.0,12.2,10.1,953.8,953.5,61.0,52.0
2024-05-01 20:00:00+00:00,5.44,2.72,238.0,253.0,9.44,5.59,244.0,260.0,10.9,9.2,954.0,953.2,65.0,57.0
2024-05-01 21:00:00+00:00,4.75,2.86,210.0,245.0,8.14,6.02,223.0,249.0,9.7,8.6,953.9,952.9,69.0,63.0
2024-05-01 22:00:00+00:00,3.94,2.69,204.0,239.0,6.64,5.55,217.0,242.0,8.6,8.3,953.5,952.6,74.0,69.0
2024-05-01 23:00:00+00:00,2.56,2.48,211.0,230.0,4.53,4.66,221.0,239.0,7.8,8.3,952.9,952.2,79.0,74.0
2024-05-02 00:00:00+00:00,1.27,1.91,225.0,223.0,2.48,3.44,230.0,234.0,7.8,8.9,952.6,951.9,80.0,76.0
2024-05-02 01:00:00+00:00,0.1,0.81,360.0,210.0,0.45,1.64,243.0,232.0,9.1,10.2,952.8,952.1,73.0,72.0
2024-05-02 02:00:00+00:00,1.56,0.81,45.0,60.0,1.7,0.45,45.0,63.0,11.3,12.2,953.2,952.6,62.0,64.0
2024-05-02 03:00:00+00:00,2.78,1.94,52.0,55.0,3.36,2.11,53.0,59.0,13.6,14.2,953.4,952.7,51.0,56.0
2024-05-02 04:00:00+00:00,3.62,2.55,66.0,64.0,4.52,2.95,65.0,66.0,15.9,16.2,953.2,952.5,42.0,47.0
2024-05-02 05:00:00+00:00,4.51,2.89,77.0,76.0,5.43,3.4,77.0,76.0,18.3,18.4,952.7,952.1,34.0,37.0
2024-05-02 06:00:00+00:00,5.04,2.94,83.0,80.0,5.94,3.45,83.0,80.0,20.3,20.1,952.1,951.6,28.0,30.0
2024-05-02 07:00:00+00:00,4.65,2.38,81.0,75.0,5.36,2.69,81.0,75.0,21.5,21.2,951.4,951.0,25.0,26.0
2024-05-02 08:00:00+00:00,3.74,1.39,74.0,60.0,4.24,1.58,75.0,55.0,22.2,21.9,950.6,950.2,23.0,24.0
2024-05-02 09:00:00+00:00,3.42,1.35,69.0,48.0,3.96,1.56,69.0,45.0,22.6,22.3,949.8,949.6,22.0,23.0
