time_utc,wind_speed_10m@pd2,wind_speed_10m@pd3,wind_direction_10m@pd2,wind_direction_10m@pd3,wind_speed_100m@pd2,wind_speed_100m@pd3,wind_direction_100m@pd2,wind_direction_100m@pd3,wind_gusts_10m@pd2,wind_gusts_10m@pd3,temperature_2m@pd2,temperature_2m@pd3,surface_pressure@pd2,surface_pressure@pd3,relative_humidity_2m@pd2,relative_humidity_2m@pd3
2025-12-01 00:00:00+00:00,3.55,3.76,68.0,73.0,7.3,11.0,67.0,63.0,6.2,11.8,1.3,1.9,960.7,960.7,44.0,40.0
2025-12-01 01:00:00+00:00,3.67,3.86,61.0,73.0,8.77,11.28,61.0,61.0,8.4,12.3,0.9,1.8,960.8,960.7,44.0,41.0
2025-12-01 02:00:00+00:00,3.98,4.02,65.0,71.0,10.06,11.49,62.0,63.0,10.2,12.8,0.7,1.5,960.9,960.9,45.0,41.0
2025-12-01 03:00:00+00:00,4.25,4.37,63.0,70.0,10.65,11.67,62.0,63.0,12.0,13.3,1.8,2.3,961.3,961.3,42.0,39.0
2025-12-01 04:00:00+00:00,5.61,5.37,59.0,61.0,10.96,11.45,62.0,62.0,12.5,13.4,4.2,4.8,961.7,961.7,35.0,32.0
2025-12-01 05:00:00+00:00,6.77,6.8,59.0,64.0,11.54,12.84,64.0,64.0,12.5,13.6,6.5,7.1,961.8,961.6,30.0,27.0
2025-12-01 06:00:00+00:00,7.34,7.27,61.0,58.0,12.36,11.68,66.0,65.0,12.4,11.8,8.3,8.3,961.5,961.9,26.0,25.0
2025-12-01 07:00:00+00:00,7.42,7.36,63.0,59.0,12.48,11.92,68.0,67.0,11.9,11.3,9.1,9.2,960.9,961.2,24.0,23.0
2025-12-01 08:00:00+00:00,7.29,7.31,61.0,60.0,12.54,12.03,69.0,69.0,11.5,11.1,9.4,9.7,960.3,960.8,23.0,23.0
2025-12-01 09:00:00+00:00,6.85,6.81,61.0,60.0,12.43,12.06,70.0,70.0,11.3,11.0,9.4,9.7,960.0,960.5,23.0,22.0
2025-12-01 10:00:00+00:00,6.31,6.23,61.0,60.0,11.68,11.62,69.0,68.0,10.8,10.5,8.7,9.0,959.9,960.6,25.0,24.0
2025-12-01 11:00:00+00:00,5.22,5.22,70.0,70.0,11.11,11.37,69.0,69.0,11.5,11.6,6.5,6.7,959.8,960.3,29.0,28.0
2025-12-01 12:00:00+00:00,4.14,3.77,82.0,79.0,10.91,10.6,72.0,69.0,11.2,10.9,5.1,5.3,959.6,959.4,33.0,31.0
2025-12-01 13:00:00+00:00,3.72,3.32,84.0,83.0,10.36,9.6,68.0,68.0,10.6,9.9,4.4,4.7,959.3,959.1,34.0,32.0
2025-12-01 14:00:00+00:00,3.71,3.21,85.0,85.0,10.25,8.91,65.0,65.0,10.5,8.7,4.0,4.3,959.0,958.9,35.0,33.0
2025-12-01 15:00:00+00:00,3.71,3.11,87.0,86.0,10.2,8.77,66.0,66.0,10.8,8.5,3.7,4.0,958.8,958.7,36.0,33.0
2025-12-01 16:00:00+00:00,3.6,3.0,88.0,90.0,9.94,8.42,66.0,66.0,10.2,7.6,3.6,3.8,958.7,958.4,36.0,33.0
2025-12-01 17:00:00+00:00,3.6,2.9,88.0,92.0,9.98,8.29,66.0,67.0,10.1,7.5,3.4,3.6,958.3,958.0,36.0,33.0
2025-12-01 18:00:00+00:00,3.8,3.01,88.0,86.0,10.69,8.63,65.0,65.0,10.8,7.9,3.2,3.3,958.3,958.4,36.0,34.0
2025-12-01 19:00:00+00:00,3.61,2.91,87.0,86.0,10.82,8.63,64.0,63.0,11.0,7.7,2.9,3.1,958.0,958.1,36.0,34.0
2025-12-01 20:00:00+00:00,3.42,3.01,83.0,86.0,10.87,8.9,62.0,64.0,10.9,8.6,2.7,2.9,957.4,957.7,36.0,34.0
2025-12-01 21:00:00+00:00,3.55,3.01,80.0,86.0,11.05,9.08,63.0,65.0,11.1,8.8,2.5,2.8,957.3,957.5,36.0,34.0
2025-12-01 22:00:00+00:00,3.28,2.92,78.0,84.0,10.78,9.3,62.0,63.0,10.8,8.9,2.3,2.5,956.8,957.0,36.0,34.0
