time_utc,wind_speed_10m@pd2,wind_speed_10m@pd3,wind_direction_10m@pd2,wind_direction_10m@pd3,wind_speed_100m@pd2,wind_speed_100m@pd3,wind_direction_100m@pd2,wind_direction_100m@pd3,wind_gusts_10m@pd2,wind_gusts_10m@pd3,temperature_2m@pd2,temperature_2m@pd3,surface_pressure@pd2,surface_pressure@pd3,relative_humidity_2m@pd2,relative_humidity_2m@pd3
2025-01-01 00:00:00+00:00,3.77,2.57,68.0,103.0,7.26,2.55,80.0,88.0,6.6,3.8,-2.1,-0.6,958.7,961.3,90.0,91.0
2025-01-01 01:00:00+00:00,3.61,2.32,71.0,97.0,7.05,4.03,80.0,94.0,6.3,3.8,-2.6,-0.2,958.9,961.7,90.0,86.0
2025-01-01 02:00:00+00:00,3.3,2.94,76.0,80.0,6.81,5.41,83.0,85.0,6.1,4.9,-2.6,-1.4,958.9,961.6,89.0,91.0
2025-01-01 03:00:00+00:00,2.98,3.06,76.0,79.0,6.3,5.8,85.0,85.0,5.6,5.1,-2.5,-0.9,958.9,961.5,88.0,89.0
2025-01-01 04:00:00+00:00,2.98,3.76,76.0,65.0,5.89,6.21,86.0,78.0,5.1,6.1,-0.5,-0.0,959.1,961.9,84.0,84.0
2025-01-01 05:00:00+00:00,3.42,5.06,69.0,65.0,5.43,6.94,83.0,74.0,5.7,8.2,1.7,1.0,959.3,962.4,75.0,77.0
2025-01-01 06:00:00+00:00,4.11,5.44,64.0,70.0,5.44,7.27,76.0,76.0,6.6,8.4,2.7,2.7,959.4,960.0,69.0,69.0
2025-01-01 07:00:00+00:00,3.89,6.36,64.0,71.0,4.83,7.66,72.0,74.0,6.6,9.7,3.0,3.4,958.9,959.0,67.0,64.0
2025-01-01 08:00:00+00:00,3.58,6.61,63.0,72.0,4.09,8.1,69.0,75.0,6.2,10.3,3.4,3.9,958.5,957.9,66.0,60.0
2025-01-01 09:00:00+00:00,3.05,6.64,67.0,72.0,3.5,8.48,72.0,76.0,5.6,10.2,3.4,3.7,958.5,957.3,65.0,60.0
2025-01-01 10:00:00+00:00,2.31,4.88,72.0,62.0,3.17,7.38,81.0,73.0,4.8,10.1,2.8,3.1,958.3,957.3,69.0,63.0
2025-01-01 11:00:00+00:00,1.73,3.32,100.0,46.0,3.04,6.01,94.0,66.0,3.7,7.5,0.9,0.7,958.3,957.7,79.0,76.0
2025-01-01 12:00:00+00:00,1.78,3.67,128.0,79.0,2.76,6.99,96.0,84.0,2.9,6.3,-0.6,0.3,957.9,956.4,77.0,72.0
2025-01-01 13:00:00+00:00,1.7,3.14,135.0,81.0,2.31,6.48,102.0,87.0,2.9,6.0,-1.1,-0.3,958.1,956.3,71.0,72.0
2025-01-01 14:00:00+00:00,1.84,1.3,135.0,58.0,2.36,3.81,95.0,72.0,2.8,5.3,-1.7,-1.3,958.1,956.8,70.0,77.0
2025-01-01 15:00:00+00:00,1.84,3.55,135.0,230.0,2.48,3.09,99.0,259.0,2.9,5.2,-2.2,-2.4,957.7,957.7,70.0,82.0
2025-01-01 16:00:00+00:00,1.92,4.66,141.0,235.0,2.38,8.61,99.0,251.0,3.0,7.8,-2.3,-2.5,957.4,958.6,70.0,88.0
2025-01-01 17:00:00+00:00,1.66,4.24,147.0,223.0,1.67,7.91,93.0,248.0,3.0,7.8,-2.6,-2.5,957.6,959.0,71.0,89.0
2025-01-01 18:00:00+00:00,1.64,3.96,142.0,223.0,1.76,7.54,90.0,245.0,2.7,7.4,-2.2,-2.6,957.2,961.4,71.0,92.0
2025-01-01 19:00:00+00:00,1.3,4.02,212.0,215.0,0.69,6.89,315.0,240.0,2.4,6.7,-2.9,-1.9,957.6,961.6,76.0,90.0
2025-01-01 20:00:00+00:00,3.13,3.55,243.0,212.0,5.19,5.98,269.0,235.0,4.9,6.5,-3.8,-1.5,958.5,961.9,80.0,89.0
2025-01-01 21:00:00+00:00,2.48,2.83,230.0,212.0,5.42,5.16,257.0,231.0,4.9,5.7,-4.0,-1.5,959.3,962.2,82.0,88.0
2025-01-01 22:00:00+00:00,2.47,2.51,212.0,209.0,5.0,4.58,247.0,228.0,4.1,4.7,-4.2,-1.7,959.3,962.2,83.0,88.0
2025-01-01 23:00:00+00:00,2.33,1.97,211.0,204.0,4.52,3.88,246.0,225.0,4.1,4.1,-4.0,-1.8,959.3,962.2,83.0,88.0
2025-01-02 00:00:00+00:00,1.79,2.3,207.0,214.0,3.29,4.46,233.0,237.0,3.7,4.5,-2.1,-1.6,959.0,962.6,82.0,85.0
2025-01-02 01:00:00+00:00,1.28,1.75,231.0,204.0,2.82,3.69,250.0,230.0,3.0,3.8,-2.3,-1.8,959.3,963.2,81.0,85.0
2025-01-02 02:00:00+00:00,1.14,0.91,218.0,186.0,2.08,2.45,262.0,233.0,2.2,2.9,-3.2,-2.3,959.6,963.5,82.0,86.0
2025-01-02 03:00:00+00:00,1.22,1.2,171.0,132.0,0.83,0.79,225.0,210.0,2.0,1.8,-3.4,-2.8,959.6,963.8,81.0,87.0
2025-01-02 04:00:00+00:00,0.14,1.53,225.0,101.0,0.53,1.37,292.0,90.0,1.8,2.2,-2.4,-1.6,960.1,964.4,81.0,86.0
2025-01-02 05:00:00+00:00,1.08,2.51,326.0,67.0,1.36,2.97,330.0,73.0,1.9,4.0,-0.9,0.2,960.6,964.8,84.0,77.0
2025-01-02 06:00:00+00:00,1.49,3.18,290.0,62.0,2.31,4.12,258.0,72.0,2.9,5.1,0.3,-0.8,961.0,963.1,80.0,78.0
2025-01-02 07:00:00+00:00,1.6,3.19,270.0,58.0,1.83,3.68,254.0,61.0,3.0,5.2,0.9,0.2,960.7,962.4,80.0,77.0
2025-01-02 08:00:00+00:00,1.51,2.68,262.0,63.0,1.62,2.94,256.0,64.0,3.2,5.2,1.5,1.0,960.7,961.9,79.0,75.0
2025-01-02 09:00:00+00:00,1.75,2.64,239.0,53.0,1.96,2.88,233.0,55.0,3.0,4.5,1.9,1.3,961.1,962.0,79.0,75.0
2025-01-02 10:00:00+00:00,1.44,2.36,236.0,54.0,2.01,2.77,223.0,58.0,2.8,4.3,1.8,0.9,961.0,962.0,80.0,78.0
2025-01-02 11:00:00+00:00,0.81,1.32,277.0,81.0,1.77,2.42,251.0,76.0,2.3,3.8,0.5,-0.2,961.3,962.1,88.0,85.0
2025-01-02 12:00:00+00:00,1.63,2.0,137.0,180.0,1.33,1.73,126.0,227.0,2.4,3.0,-0.5,-2.0,962.6,962.6,92.0,78.0
2025-01-02 13:00:00+00:00,1.64,1.7,142.0,177.0,1.25,1.69,135.0,216.0,2.8,3.0,-0.9,-2.9,963.0,962.8,86.0,76.0
2025-01-02 14:00:00+00:00,1.34,1.3,117.0,180.0,0.98,1.53,96.0,230.0,2.4,2.5,-1.6,-3.8,963.1,962.9,86.0,78.0
2025-01-02 15:00:00+00:00,1.89,1.2,122.0,185.0,1.69,1.58,100.0,240.0,2.7,1.9,-2.3,-4.3,963.0,962.8,86.0,78.0
2025-01-02 16:00:00+00:00,1.94,1.17,125.0,200.0,2.11,1.74,112.0,254.0,2.9,1.9,-2.1,-4.6,962.7,963.0,84.0,79.0
2025-01-02 17:00:00+00:00,1.43,1.84,115.0,209.0,1.77,2.55,109.0,238.0,2.9,2.9,-2.0,-4.7,962.5,963.3,82.0,82.0
2025-01-02 18:00:00+00:00,1.4,1.58,94.0,215.0,1.86,3.32,93.0,236.0,2.6,3.3,-2.7,-2.8,963.9,963.5,82.0,84.0
2025-01-02 19:00:00+00:00,1.92,1.39,99.0,201.0,2.36,3.26,73.0,229.0,2.9,2.5,-3.4,-2.7,963.9,963.6,86.0,83.0
2025-01-02 20:00:00+00:00,1.75,0.86,121.0,216.0,2.69,2.59,100.0,241.0,3.1,2.3,-3.0,-2.9,964.0,963.7,82.0,84.0
2025-01-02 21:00:00+00:00,1.41,1.02,98.0,191.0,2.35,2.16,88.0,231.0,2.7,1.8,-3.5,-3.0,964.5,964.1,83.0,84.0
2025-01-02 22:00:00+00:00,1.62,1.1,112.0,175.0,2.25,2.04,90.0,215.0,2.5,2.0,-3.7,-2.9,964.5,963.9,84.0,82.0
2025-01-02 23:00:00+00:00,1.75,0.3,77.0,90.0,2.57,0.92,72.0,238.0,2.7,1.9,-4.4,-3.0,964.3,964.0,87.0,82.0
2025-01-03 00:00:00+00:00,2.66,1.61,70.0,120.0,5.09,1.01,74.0,119.0,4.4,2.4,-3.5,-2.2,965.4,965.0,90.0,85.0
2025-01-03 01:00:00+00:00,2.86,2.21,78.0,108.0,5.63,2.98,77.0,99.0,4.8,3.2,-3.7,-2.8,966.1,965.6,89.0,85.0
2025-01-03 02:00:00+00:00,2.94,2.22,80.0,98.0,6.02,3.63,83.0,93.0,4.9,3.6,-3.6,-3.3,966.3,966.0,87.0,86.0
2025-01-03 03:00:00+00:00,3.14,2.5,68.0,88.0,6.11,4.41,78.0,90.0,5.1,4.0,-3.7,-3.5,966.3,966.2,88.0,86.0
2025-01-03 04:00:00+00:00,3.81,3.23,67.0,68.0,6.82,5.54,78.0,77.0,6.2,5.3,-2.0,-2.0,966.6,966.9,84.0,84.0
2025-01-03 05:00:00+00:00,5.05,4.61,63.0,63.0,7.19,6.29,73.0,72.0,8.0,7.4,0.0,-0.1,966.5,967.3,77.0,80.0
2025-01-03 06:00:00+00:00,5.96,3.9,67.0,67.0,6.91,4.8,69.0,78.0,9.1,6.3,-0.4,0.8,965.9,967.2,79.0,79.0
2025-01-03 07:00:00+00:00,6.22,4.66,64.0,67.0,7.37,5.24,67.0,69.0,9.6,7.3,0.2,1.2,965.5,966.7,78.0,78.0
2025-01-03 08:00:00+00:00,6.54,5.09,67.0,70.0,8.03,5.86,70.0,72.0,10.1,8.0,0.7,1.4,965.2,966.5,74.0,77.0
2025-01-03 09:00:00+00:00,6.59,5.42,68.0,67.0,8.27,6.35,71.0,70.0,10.2,8.4,0.9,1.7,965.1,966.4,73.0,76.0
2025-01-03 10:00:00+00:00,6.04,5.5,66.0,63.0,8.37,7.22,72.0,69.0,10.0,8.5,0.6,1.2,964.9,966.2,75.0,78.0
2025-01-03 11:00:00+00:00,5.41,5.41,65.0,62.0,8.51,8.52,75.0,73.0,9.1,8.6,-0.3,0.0,964.6,966.1,79.0,82.0
2025-01-03 12:00:00+00:00,5.02,5.24,67.0,66.0,8.72,8.72,78.0,75.0,8.4,8.9,-0.2,-0.8,964.2,964.7,77.0,81.0
2025-01-03 13:00:00+00:00,4.98,5.09,68.0,70.0,9.09,8.67,79.0,80.0,8.2,8.5,-0.8,-1.1,964.2,964.7,78.0,80.0
2025-01-03 14:00:00+00:00,4.81,4.96,69.0,71.0,9.13,8.92,81.0,81.0,8.2,8.2,-1.2,-1.5,964.2,964.5,78.0,80.0
2025-01-03 15:00:00+00:00,4.55,4.9,71.0,73.0,8.97,8.97,84.0,84.0,8.0,8.1,-1.4,-1.8,963.8,963.9,78.0,80.0
2025-01-03 16:00:00+00:00,4.46,4.81,70.0,73.0,8.75,8.94,85.0,86.0,7.5,8.0,-1.6,-1.7,963.4,963.6,77.0,81.0
2025-01-03 17:00:00+00:00,4.46,4.93,70.0,72.0,8.76,9.05,84.0,85.0,7.3,8.0,-1.8,-1.7,962.9,963.0,76.0,81.0
2025-01-03 18:00:00+00:00,4.7,4.37,66.0,70.0,9.13,8.37,81.0,84.0,8.1,7.9,-3.1,-2.2,962.9,960.8,80.0,78.0
2025-01-03 19:00:00+00:00,4.55,4.24,71.0,71.0,9.07,8.09,84.0,83.0,8.1,7.4,-2.8,-2.5,962.2,960.3,80.0,80.0
2025-01-03 20:00:00+00:00,4.46,4.02,70.0,71.0,8.75,7.79,85.0,84.0,7.9,7.1,-2.6,-2.8,961.9,959.9,79.0,82.0
2025-01-03 21:00:00+00:00,4.3,3.64,72.0,74.0,8.45,7.39,85.0,84.0,7.6,6.7,-2.7,-3.2,961.3,959.6,79.0,83.0
2025-01-03 22:00:00+00:00,4.37,3.32,70.0,74.0,8.39,6.91,83.0,83.0,7.4,6.3,-3.0,-3.5,960.2,958.8,80.0,83.0
2025-01-03 23:00:00+00:00,4.33,2.94,71.0,80.0,8.49,6.31,83.0,84.0,7.4,5.7,-3.1,-3.8,958.9,958.2,79.0,82.0
2025-01-04 00:00:00+00:00,3.93,2.55,75.0,79.0,7.86,5.71,86.0,84.0,7.0,5.1,-2.7,-3.5,958.6,959.0,79.0,82.0
2025-01-04 01:00:00+00:00,3.74,1.9,74.0,90.0,7.66,4.72,86.0,85.0,6.7,4.3,-3.0,-3.7,958.3,959.2,78.0,80.0
2025-01-04 02:00:00+00:00,3.4,1.41,76.0,98.0,6.97,3.46,87.0,82.0,6.3,3.4,-3.4,-3.9,957.9,958.9,78.0,77.0
2025-01-04 03:00:00+00:00,2.94,1.17,80.0,121.0,6.27,2.66,88.0,84.0,5.7,2.6,-3.4,-4.1,957.8,959.1,76.0,76.0
2025-01-04 04:00:00+00:00,2.67,0.58,77.0,121.0,5.59,1.9,87.0,78.0,5.0,2.1,-1.5,-2.6,957.6,959.4,71.0,75.0
2025-01-04 05:00:00+00:00,2.95,0.71,66.0,352.0,4.88,0.84,80.0,54.0,5.0,1.4,0.4,-0.8,957.0,959.6,65.0,77.0
2025-01-04 06:00:00+00:00,3.04,0.85,63.0,21.0,4.19,0.79,74.0,30.0,5.2,2.3,0.4,-1.2,956.6,957.9,65.0,78.0
